cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	chr_i	pos_i	strand_i	chr_j	pos_j	strand_j	pval	prob	num_hits
1	TCGA-FG-A4MU-01B	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12888414	+	9	22301133	+	1.1e-09	6.91455516173347e-05	9
1	TCGA-FG-A4MU-01B	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12889467	-	9	22446987	+	1.1e-09	6.91455516173347e-05	9
1	TCGA-HT-7860-01A	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12489991	-	9	22251204	+	1.1e-09	6.91455516173347e-05	9
1	TCGA-DU-7290-01A	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12737179	-	9	22096841	+	1.1e-09	6.91455516173347e-05	9
1	TCGA-E1-A7Z2-01A	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12795646	-	9	22236050	-	1.1e-09	6.91455516173347e-05	9
1	TCGA-FG-A4MU-01B	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12063909	-	9	21328171	-	1.1e-09	0.000164189613395764	9
1	TCGA-DU-7290-01A	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12046596	+	9	21104546	+	1.1e-09	0.000164189613395764	9
1	TCGA-E1-A7Z2-01A	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12186639	+	9	21761433	+	1.1e-09	0.000164189613395764	9
1	TCGA-E1-A7Z2-01A	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12283235	+	9	21716375	-	1.1e-09	0.000164189613395764	9
1	TCGA-E1-A7Z2-01A	NFIB*	"NFIB*	PSIP1*	MPDZ	HAUS6	DENND4C	BNC2	SAXO1	SLC24A2	FREM1	ZDHHC21	RRAGA	CNTLN	PLIN2	SNAPC3	TTC39B	CCDC171	C9orf92	RPS6	TYRP1	SH3GL2	CER1	LURAP1L	ACER2	BNC2-AS1	LURAP1L-AS1	SNORD137	LINC01235	LINC00583	LOC389705	MIR3152	SCARNA8	ADAMTSL1"	MLLT3*	"MLLT3*	CDKN2A*	DENND4C	IFNA2	CDKN2B-AS1	FOCAD	SLC24A2	IFNA1	HACD4	IFNA13	IFNW1	IFNB1	IFNA21	IFNA16	IFNA14	IFNA10	IFNA5	IFNA8	RPS6	IFNA6	MIR31HG	MIR31	MIR4474	ACER2	MIR491	IFNA7	MIR4473	FOCAD-AS1	SNORA30B	IFNA22P	CDKN2A-DT	MTAP	IFNA4	CDKN2B	IFNA17	KLHL9	IFNE"	TCGA-LGG	9	12522448	+	9	21435565	-	1.1e-09	0.000164189613395764	9
