cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	chr_i	pos_i	strand_i	chr_j	pos_j	strand_j	pval	qval	prob	num_hits
1	TCGA-HC-7213-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205637589	+	21	38375547	-	0	0	1.15907031789301e-05	7
1	TCGA-HC-7213-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205643863	+	21	38375604	+	0	0	1.15907031789301e-05	7
1	TCGA-G9-7522-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205668613	-	21	38510822	+	0	0	1.15907031789301e-05	7
1	TCGA-XJ-A83F-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205635913	+	21	38435825	-	0	0	1.15907031789301e-05	7
1	TCGA-XJ-A9DQ-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205636036	-	21	38504078	+	0	0	1.15907031789301e-05	7
1	TCGA-HC-7748-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205630474	-	21	38513198	-	0	0	1.15907031789301e-05	7
1	TCGA-HC-7748-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205671988	-	21	38513135	+	0	0	1.15907031789301e-05	7
1	TCGA-G9-6351-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205677137	-	21	38449889	+	0	0	1.15907031789301e-05	7
1	TCGA-J4-A83N-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205660895	+	21	38526404	-	0	0	1.15907031789301e-05	7
1	TCGA-J4-A83N-01A	SLC45A3**	"SLC45A3**	ELK4*"	ERG**	"ERG**"	TCGA-PRAD	1	205666188	-	21	38526378	+	0	0	1.15907031789301e-05	7
2	TCGA-J9-A52B-01A	ERG**	"ERG**	TMPRSS2*	BRWD1	MX2	MX1	B3GALT5-AS1	DSCAM-AS1	DSCR8	DSCAM	B3GALT5	PCP4	GET1	KCNJ15	GET1-SH3BGR	SH3BGR	PSMG1	HMGN1	IGSF5	DSCR4	DSCR10	LINC01423	LINC00114	LOC101928398	LOC400867	LINC01700	BRWD1-AS2	BRWD1-AS1	MIR6508	MIR4760	DSCAM-IT1	LINC00323	MIR3197	PLAC4	KCNJ6	BACE2	ETS2	FAM3B	LCA5L"	TMPRSS2**	"TMPRSS2**	MX1	PCSEAT"	TCGA-PRAD	21	38372374	-	21	41495233	-	0	0	0.00456355295420033	140
2	TCGA-FC-7708-01A	ERG**	"ERG**	TMPRSS2*	BRWD1	MX2	MX1	B3GALT5-AS1	DSCAM-AS1	DSCR8	DSCAM	B3GALT5	PCP4	GET1	KCNJ15	GET1-SH3BGR	SH3BGR	PSMG1	HMGN1	IGSF5	DSCR4	DSCR10	LINC01423	LINC00114	LOC101928398	LOC400867	LINC01700	BRWD1-AS2	BRWD1-AS1	MIR6508	MIR4760	DSCAM-IT1	LINC00323	MIR3197	PLAC4	KCNJ6	BACE2	ETS2	FAM3B	LCA5L"	TMPRSS2**	"TMPRSS2**	MX1	PCSEAT"	TCGA-PRAD	21	38497092	+	21	41461368	-	0	0	0.00456355295420033	140
2	TCGA-EJ-8469-01A	ERG**	"ERG**	TMPRSS2*	BRWD1	MX2	MX1	B3GALT5-AS1	DSCAM-AS1	DSCR8	DSCAM	B3GALT5	PCP4	GET1	KCNJ15	GET1-SH3BGR	SH3BGR	PSMG1	HMGN1	IGSF5	DSCR4	DSCR10	LINC01423	LINC00114	LOC101928398	LOC400867	LINC01700	BRWD1-AS2	BRWD1-AS1	MIR6508	MIR4760	DSCAM-IT1	LINC00323	MIR3197	PLAC4	KCNJ6	BACE2	ETS2	FAM3B	LCA5L"	TMPRSS2**	"TMPRSS2**	MX1	PCSEAT"	TCGA-PRAD	21	38500292	-	21	41489487	-	0	0	0.00456355295420033	140
2	TCGA-EJ-8469-01A	ERG**	"ERG**	TMPRSS2*	BRWD1	MX2	MX1	B3GALT5-AS1	DSCAM-AS1	DSCR8	DSCAM	B3GALT5	PCP4	GET1	KCNJ15	GET1-SH3BGR	SH3BGR	PSMG1	HMGN1	IGSF5	DSCR4	DSCR10	LINC01423	LINC00114	LOC101928398	LOC400867	LINC01700	BRWD1-AS2	BRWD1-AS1	MIR6508	MIR4760	DSCAM-IT1	LINC00323	MIR3197	PLAC4	KCNJ6	BACE2	ETS2	FAM3B	LCA5L"	TMPRSS2**	"TMPRSS2**	MX1	PCSEAT"	TCGA-PRAD	21	38500379	+	21	41497508	-	0	0	0.00456355295420033	140
2	TCGA-HC-7213-01A	ERG**	"ERG**	TMPRSS2*	BRWD1	MX2	MX1	B3GALT5-AS1	DSCAM-AS1	DSCR8	DSCAM	B3GALT5	PCP4	GET1	KCNJ15	GET1-SH3BGR	SH3BGR	PSMG1	HMGN1	IGSF5	DSCR4	DSCR10	LINC01423	LINC00114	LOC101928398	LOC400867	LINC01700	BRWD1-AS2	BRWD1-AS1	MIR6508	MIR4760	DSCAM-IT1	LINC00323	MIR3197	PLAC4	KCNJ6	BACE2	ETS2	FAM3B	LCA5L"	TMPRSS2**	"TMPRSS2**	MX1	PCSEAT"	TCGA-PRAD	21	38492135	+	21	41505991	-	0	0	0.00456355295420033	140
