cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	chr_i	pos_i	strand_i	chr_j	pos_j	strand_j	pval	prob	num_hits
1	TCGA-06-0157-01A	PLEKHA6	"PLEKHA6	PIK3C2B	PPP1R15B	LINC00628"	CDK4*	"CDK4*	B4GALNT1	OS9	AVIL	METTL1	LOC101927583	MIR6759	TSFM	PIP4K2C	CYP27B1	AGAP2	MIR26A2	DTX3	ARHGEF25	EEF1AKMT3	KIF5A	AGAP2-AS1	TSPAN31	CTDSP2	MARCHF9	SLC26A10	(LOC283387)"	TCGA-GBM	1	204233117	+	12	57867341	-	1.6e-08	1.25006604905744e-05	4
1	TCGA-12-1597-01B	PLEKHA6	"PLEKHA6	PIK3C2B	PPP1R15B	LINC00628"	CDK4*	"CDK4*	B4GALNT1	OS9	AVIL	METTL1	LOC101927583	MIR6759	TSFM	PIP4K2C	CYP27B1	AGAP2	MIR26A2	DTX3	ARHGEF25	EEF1AKMT3	KIF5A	AGAP2-AS1	TSPAN31	CTDSP2	MARCHF9	SLC26A10	(LOC283387)"	TCGA-GBM	1	204501170	+	12	57682895	-	1.6e-08	1.25006604905744e-05	4
1	TCGA-12-1597-01B	PLEKHA6	"PLEKHA6	PIK3C2B	PPP1R15B	LINC00628"	CDK4*	"CDK4*	B4GALNT1	OS9	AVIL	METTL1	LOC101927583	MIR6759	TSFM	PIP4K2C	CYP27B1	AGAP2	MIR26A2	DTX3	ARHGEF25	EEF1AKMT3	KIF5A	AGAP2-AS1	TSPAN31	CTDSP2	MARCHF9	SLC26A10	(LOC283387)"	TCGA-GBM	1	204501401	-	12	57682885	+	1.6e-08	1.25006604905744e-05	4
1	TCGA-28-5207-01A	PLEKHA6	"PLEKHA6	PIK3C2B	PPP1R15B	LINC00628"	CDK4*	"CDK4*	B4GALNT1	OS9	AVIL	METTL1	LOC101927583	MIR6759	TSFM	PIP4K2C	CYP27B1	AGAP2	MIR26A2	DTX3	ARHGEF25	EEF1AKMT3	KIF5A	AGAP2-AS1	TSPAN31	CTDSP2	MARCHF9	SLC26A10	(LOC283387)"	TCGA-GBM	1	204435079	-	12	57780011	+	1.6e-08	1.25006604905744e-05	4
1	TCGA-76-4935-01A	PLEKHA6	"PLEKHA6	PIK3C2B	PPP1R15B	LINC00628"	CDK4*	"CDK4*	B4GALNT1	OS9	AVIL	METTL1	LOC101927583	MIR6759	TSFM	PIP4K2C	CYP27B1	AGAP2	MIR26A2	DTX3	ARHGEF25	EEF1AKMT3	KIF5A	AGAP2-AS1	TSPAN31	CTDSP2	MARCHF9	SLC26A10	(LOC283387)"	TCGA-GBM	1	204376868	-	12	57578730	-	1.6e-08	1.25006604905744e-05	4
1	TCGA-76-4935-01A	PLEKHA6	"PLEKHA6	PIK3C2B	PPP1R15B	LINC00628"	CDK4*	"CDK4*	B4GALNT1	OS9	AVIL	METTL1	LOC101927583	MIR6759	TSFM	PIP4K2C	CYP27B1	AGAP2	MIR26A2	DTX3	ARHGEF25	EEF1AKMT3	KIF5A	AGAP2-AS1	TSPAN31	CTDSP2	MARCHF9	SLC26A10	(LOC283387)"	TCGA-GBM	1	204657471	+	12	57859286	+	1.6e-08	1.25006604905744e-05	4
2	TCGA-06-0145-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204445995	-	1	205286894	+	3.7e-08	0.00120253288550731	26
2	TCGA-06-0154-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204176962	-	1	205193747	+	3.7e-08	0.00120253288550731	26
2	TCGA-06-0157-01A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204064886	-	1	204857161	+	3.7e-08	0.00120253288550731	26
2	TCGA-06-0211-02A	BTG2*	"BTG2*	MDM4*	PLEKHA6	ZC3H11A	LINC01353	LINC01136	MYOG	SNORA77	LINC00260	LINC00303	REN	ADORA1	CHI3L1	CHIT1	ETNK2	SNRPE	MYBPH	ATP2B4	LAX1	ERLNC1	SOX13	GOLT1A	PIK3C2B	PPFIA4	PRELP	ZBED6	PPP1R15B	OPTC	LRRN2	KISS1	FMOD	LINC00628	MYOPARR"	ELK4*	"ELK4*	SLC45A3*	NFASC	KLHDC8A	MIR135B	LEMD1-AS1	MFSD4A-AS1	TMCC2	RAB29	CNTN2	LEMD1-DT	RBBP5	LEMD1	DSTYK	NUCKS1	CDK18	MFSD4A	BLACAT1	NUAK2	TMEM81"	TCGA-GBM	1	204093609	-	1	204874882	+	3.7e-08	0.00120253288550731	26
