cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	bin_i	chr_i	pos_i	strand_i	bin_j	chr_j	pos_j	strand_j	tile_qval	pval	prob	num_hits	stddev_i	stddev_j	tier
1	TCGA-BA-A6DJ-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95848772	-	112	2	97252610	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CR-6478-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95919280	+	112	2	97559886	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CR-7364-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95857802	-	112	2	97243854	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CR-7370-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95891707	-	112	2	97209771	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CV-5970-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95838449	+	112	2	97494296	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CV-6962-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95891868	+	112	2	97202209	+	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CV-7095-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95971289	+	112	2	97134032	+	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CV-A45P-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	96012409	+	112	2	97093133	+	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-CV-A463-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95858432	-	112	2	97243043	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
1	TCGA-MT-A51X-01A	ZNF2	"ZNF2	KCNIP3	PROM2"	ARID5A	"ARID5A	CNNM4	CNNM3	ANKRD39	FAM178B	SEMA4C	KANSL3	LMAN2L	FER1L5	NEURL3	ANKRD23	MIR3127"	HNSC	109	2	95857789	-	112	2	97243788	-	0	0	2.76920084436489e-06	11	59157.3479599495	145245.108141939	tier 3
