cluster_num	sid	gene_i	all_genes_i	gene_j	all_genes_j	subtype	chr_i	pos_i	strand_i	chr_j	pos_j	strand_j	pval	qval	prob	num_hits
1	TCGA-13-0807-01B	MUC16*	"MUC16*	MBD3L1	NFILZ	ZNF558	OR2Z1	ACTL9"	DNAJB1*	"DNAJB1*	PKN1	ADGRE3	ADGRE2	ZNF333	OR7C1	SLC1A6	OR7A17	NDUFB7	MIR639	TECR	CLEC17A	SNORA104	OR7A5	OR7A10	OR7C2	PTGER1	GIPC1"	TCGA-OV	19	8630766	+	19	14637167	-	7.7e-10	1.6e-06	3.7495285694983e-06	5
1	TCGA-13-1407-01A	MUC16*	"MUC16*	MBD3L1	NFILZ	ZNF558	OR2Z1	ACTL9"	DNAJB1*	"DNAJB1*	PKN1	ADGRE3	ADGRE2	ZNF333	OR7C1	SLC1A6	OR7A17	NDUFB7	MIR639	TECR	CLEC17A	SNORA104	OR7A5	OR7A10	OR7C2	PTGER1	GIPC1"	TCGA-OV	19	8851818	+	19	14784140	-	7.7e-10	1.6e-06	3.7495285694983e-06	5
1	TCGA-24-1614-01A	MUC16*	"MUC16*	MBD3L1	NFILZ	ZNF558	OR2Z1	ACTL9"	DNAJB1*	"DNAJB1*	PKN1	ADGRE3	ADGRE2	ZNF333	OR7C1	SLC1A6	OR7A17	NDUFB7	MIR639	TECR	CLEC17A	SNORA104	OR7A5	OR7A10	OR7C2	PTGER1	GIPC1"	TCGA-OV	19	8883443	+	19	14628912	+	7.7e-10	1.6e-06	3.7495285694983e-06	5
1	TCGA-24-1614-01A	MUC16*	"MUC16*	MBD3L1	NFILZ	ZNF558	OR2Z1	ACTL9"	DNAJB1*	"DNAJB1*	PKN1	ADGRE3	ADGRE2	ZNF333	OR7C1	SLC1A6	OR7A17	NDUFB7	MIR639	TECR	CLEC17A	SNORA104	OR7A5	OR7A10	OR7C2	PTGER1	GIPC1"	TCGA-OV	19	8883484	-	19	14628950	-	7.7e-10	1.6e-06	3.7495285694983e-06	5
1	TCGA-24-1844-01A	MUC16*	"MUC16*	MBD3L1	NFILZ	ZNF558	OR2Z1	ACTL9"	DNAJB1*	"DNAJB1*	PKN1	ADGRE3	ADGRE2	ZNF333	OR7C1	SLC1A6	OR7A17	NDUFB7	MIR639	TECR	CLEC17A	SNORA104	OR7A5	OR7A10	OR7C2	PTGER1	GIPC1"	TCGA-OV	19	9014987	-	19	14464792	+	7.7e-10	1.6e-06	3.7495285694983e-06	5
1	TCGA-29-1783-01A	MUC16*	"MUC16*	MBD3L1	NFILZ	ZNF558	OR2Z1	ACTL9"	DNAJB1*	"DNAJB1*	PKN1	ADGRE3	ADGRE2	ZNF333	OR7C1	SLC1A6	OR7A17	NDUFB7	MIR639	TECR	CLEC17A	SNORA104	OR7A5	OR7A10	OR7C2	PTGER1	GIPC1"	TCGA-OV	19	8956562	-	19	14987617	+	7.7e-10	1.6e-06	3.7495285694983e-06	5
2	TCGA-24-1551-01A	PIGG	"PIGG	SLC49A3	PDE6B	MYL5	ATP5ME	ABCA11P	LOC105374338	TMEM271	ZNF721"	ZBTB49	"ZBTB49	TMEM128	STX18	OTOP1	LYAR	STX18-IT1	STX18-AS1	SNORD162	LOC101928279	NSG1"	TCGA-OV	4	653135	-	4	4380513	+	2.9e-08	5.1e-05	2.84369406977157e-06	5
2	TCGA-24-1920-01A	PIGG	"PIGG	SLC49A3	PDE6B	MYL5	ATP5ME	ABCA11P	LOC105374338	TMEM271	ZNF721"	ZBTB49	"ZBTB49	TMEM128	STX18	OTOP1	LYAR	STX18-IT1	STX18-AS1	SNORD162	LOC101928279	NSG1"	TCGA-OV	4	411496	-	4	4571725	+	2.9e-08	5.1e-05	2.84369406977157e-06	5
2	TCGA-25-1322-01A	PIGG	"PIGG	SLC49A3	PDE6B	MYL5	ATP5ME	ABCA11P	LOC105374338	TMEM271	ZNF721"	ZBTB49	"ZBTB49	TMEM128	STX18	OTOP1	LYAR	STX18-IT1	STX18-AS1	SNORD162	LOC101928279	NSG1"	TCGA-OV	4	443715	-	4	4019594	+	2.9e-08	5.1e-05	2.84369406977157e-06	5
2	TCGA-25-2392-01A	PIGG	"PIGG	SLC49A3	PDE6B	MYL5	ATP5ME	ABCA11P	LOC105374338	TMEM271	ZNF721"	ZBTB49	"ZBTB49	TMEM128	STX18	OTOP1	LYAR	STX18-IT1	STX18-AS1	SNORD162	LOC101928279	NSG1"	TCGA-OV	4	684928	+	4	4169350	+	2.9e-08	5.1e-05	2.84369406977157e-06	5
2	TCGA-42-2588-01A	PIGG	"PIGG	SLC49A3	PDE6B	MYL5	ATP5ME	ABCA11P	LOC105374338	TMEM271	ZNF721"	ZBTB49	"ZBTB49	TMEM128	STX18	OTOP1	LYAR	STX18-IT1	STX18-AS1	SNORD162	LOC101928279	NSG1"	TCGA-OV	4	506878	-	4	4767790	+	2.9e-08	5.1e-05	2.84369406977157e-06	5
3	TCGA-13-1407-01A	AXL	"AXL	HNRNPUL1	C19orf54	EGLN2	SNRPA	BLVRB	CYP2F1	SERTAD3	CYP2A7	CYP2A6	NUMBL	MIA-RAB4B	RAB4B-EGLN2	CYP2T1P	CYP2G1P	CYP2B7P	CYP2B6	MIA	COQ8B	ITPKC	CYP2S1	CYP2A13	LTBP4	RAB4B	SPTBN4	SHKBP1"	KLK2*	"KLK2*	KLK10	C19orf48	LRRC4B	CD33	KLK14	KLK12	KLK5	KLK6	GPR32	SIGLEC7	KLK15	KLK11	KLK13	SIGLECL1	C19orf81	KLK3	SIGLEC9	SYT3	SNAR-F	SNORD88B	SNORD88A	SNORD88C	LINC01869	LOC105372441	KLKP1	LOC101928517	SIGLEC17P	MIR8074	LINC01872	KLK7	KLK8	KLK9	KLK4	KLK1	CLEC11A	IGLON5	VSIG10L	ACP4	LOC105372440	CTU1	SHANK1	(ETFB)"	TCGA-OV	19	40437790	+	19	50818451	+	5.4e-07	0.00084	2.32368714078081e-06	5
3	TCGA-23-2077-01A	AXL	"AXL	HNRNPUL1	C19orf54	EGLN2	SNRPA	BLVRB	CYP2F1	SERTAD3	CYP2A7	CYP2A6	NUMBL	MIA-RAB4B	RAB4B-EGLN2	CYP2T1P	CYP2G1P	CYP2B7P	CYP2B6	MIA	COQ8B	ITPKC	CYP2S1	CYP2A13	LTBP4	RAB4B	SPTBN4	SHKBP1"	KLK2*	"KLK2*	KLK10	C19orf48	LRRC4B	CD33	KLK14	KLK12	KLK5	KLK6	GPR32	SIGLEC7	KLK15	KLK11	KLK13	SIGLECL1	C19orf81	KLK3	SIGLEC9	SYT3	SNAR-F	SNORD88B	SNORD88A	SNORD88C	LINC01869	LOC105372441	KLKP1	LOC101928517	SIGLEC17P	MIR8074	LINC01872	KLK7	KLK8	KLK9	KLK4	KLK1	CLEC11A	IGLON5	VSIG10L	ACP4	LOC105372440	CTU1	SHANK1	(ETFB)"	TCGA-OV	19	40692396	+	19	51336502	-	5.4e-07	0.00084	2.32368714078081e-06	5
